                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                      0,                      0,                      0,                0.00335,                   0.78,                0.02584,                0.00879,                      0,                 222.25,                      0,              3.333e-05,              3.333e-05,              3.333e-05
                      2,                      0,                      0,                      0,                0.00513,                   0.82,                0.02548,                0.00698,                      0,                 222.12,                      0,             6.2372e-05,             6.2372e-05,             6.2372e-05
                      3,                      0,                      0,                      0,                 0.0033,                   0.84,                0.01441,                0.00459,                      0,                 221.88,                      0,             7.3815e-05,             7.3815e-05,             7.3815e-05
                      4,                      0,                 9.8862,                      0,                0.00489,                   0.84,                0.02089,                0.00556,                      0,                    221,                      0,              6.766e-05,              6.766e-05,              6.766e-05
                      5,                      0,                  31.44,                      0,                0.00512,                    0.8,                0.02496,                0.00749,                      0,                 220.25,                      0,             4.3907e-05,             4.3907e-05,             4.3907e-05
