                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                      0,                      0,                      0,                0.00335,                   0.78,                0.02584,                0.00879,                      0,                 222.25,                      0,              3.333e-05,              3.333e-05,              3.333e-05
                      2,                      0,                      0,                      0,                0.00405,                   0.78,                0.02151,                0.00588,                      0,                 222.25,                      0,             7.5204e-05,             7.5204e-05,             7.5204e-05
                      3,                      0,                      0,                      0,                0.00456,                   0.74,                0.00984,                 0.0034,                      0,                 221.38,                      0,             0.00011414,             0.00011414,             0.00011414
                      4,                      0,                 9.7162,                      0,                0.01458,                   0.88,                0.03307,                0.00777,                      0,                 219.25,                      0,             0.00015015,             0.00015015,             0.00015015
                      5,                      0,                      0,                      0,                0.01131,                   0.88,                0.05492,                0.01234,                      0,                 217.75,                      0,             0.00018323,             0.00018323,             0.00018323
                      6,                      0,                      0,                      0,                0.00759,                   0.84,                0.02511,                0.00625,                      0,                 216.88,                      0,             0.00021337,             0.00021337,             0.00021337
                      7,                      0,                 9.3451,                      0,                0.00604,                   0.66,                0.03707,                0.00923,                      0,                 216.75,                      0,             0.00024058,             0.00024058,             0.00024058
                      8,                      0,                      0,                      0,                0.00485,                   0.66,                0.01838,                0.00405,                      0,                  216.5,                      0,             0.00026485,             0.00026485,             0.00026485
                      9,                      0,                      0,                      0,                0.00497,                   0.76,                0.07956,                0.01136,                      0,                  213.5,                      0,             0.00028619,             0.00028619,             0.00028619
                     10,                      0,                      0,                      0,                0.00377,                    0.8,                0.07045,                 0.0155,                      0,                 208.38,                      0,              0.0003046,              0.0003046,              0.0003046
                     11,                      0,                 8.8961,                      0,                0.00328,                   0.74,                0.02426,                0.00618,                      0,                 204.75,                      0,             0.00032008,             0.00032008,             0.00032008
                     12,                      0,                 8.6512,                      0,                0.00164,                   0.52,                0.00708,                0.00127,                      0,                  274.5,                      0,             0.00033262,             0.00033262,             0.00033262
                     13,                      0,                      0,                      0,                0.00062,                    0.4,                0.00257,                0.00117,                      0,                 215.38,                      0,             0.00034223,             0.00034223,             0.00034223
                     14,                      0,                  8.425,                      0,                0.00165,                   0.48,                0.00733,                0.00157,                      0,                 236.25,                      0,             0.00034891,             0.00034891,             0.00034891
                     15,                      0,                 8.3122,                      0,                0.00165,                   0.48,                0.00733,                0.00157,                      0,                  384.5,                      0,             0.00035265,             0.00035265,             0.00035265
                     16,                      0,                      0,                      0,                0.00207,                   0.16,                0.00256,                0.00087,                      0,                  305.5,                      0,             0.00035346,             0.00035346,             0.00035346
                     17,                      0,                      0,                      0,                0.00353,                    0.4,                0.01162,                0.00454,                      0,                 188.75,                      0,             0.00035134,             0.00035134,             0.00035134
                     18,                      0,                      0,                      0,                0.00224,                    0.3,                0.01696,                0.00369,                      0,                 195.75,                      0,             0.00034629,             0.00034629,             0.00034629
                     19,                      0,                      0,                      0,                0.00245,                   0.32,                0.00603,                0.00124,                      0,                  146.5,                      0,              0.0003383,              0.0003383,              0.0003383
                     20,                      0,                      0,                      0,                0.00199,                   0.16,                0.00418,                0.00072,                      0,                 132.88,                      0,             0.00032738,             0.00032738,             0.00032738
                     21,                      0,                      0,                      0,                0.00191,                   0.16,                0.00353,                0.00047,                      0,                  130.5,                      0,             0.00031352,             0.00031352,             0.00031352
                     22,                      0,                      0,                      0,                0.00096,                   0.08,                0.00121,                0.00038,                      0,                 129.88,                      0,             0.00029674,             0.00029674,             0.00029674
                     23,                      0,                      0,                      0,                0.00313,                   0.76,                0.00547,                0.00134,                      0,                 127.69,                      0,             0.00027702,             0.00027702,             0.00027702
                     24,                      0,                      0,                      0,                0.00118,                   0.08,                0.00156,                0.00039,                      0,                    139,                      0,             0.00025436,             0.00025436,             0.00025436
                     25,                      0,                      0,                      0,                 0.0013,                   0.08,                0.00331,                 0.0007,                      0,                 163.75,                      0,             0.00022878,             0.00022878,             0.00022878
                     26,                      0,                      0,                      0,                0.00132,                   0.08,                0.00749,                0.00123,                      0,                 142.62,                      0,             0.00019442,             0.00019442,             0.00019442
                     27,                      0,                 7.4367,                      0,                0.00381,                   0.26,                0.01117,                 0.0015,                      0,                  129.5,                      0,             0.00015776,             0.00015776,             0.00015776
                     28,                      0,                      0,                      0,                0.00237,                   0.16,                0.01188,                0.00132,                      0,                 123.44,                      0,              0.0001211,              0.0001211,              0.0001211
                     29,                      0,                      0,                      0,                0.00299,                    0.2,                0.00421,                0.00074,                      0,                 122.75,                      0,             8.4436e-05,             8.4436e-05,             8.4436e-05
                     30,                      0,                      0,                      0,                0.00325,                    0.6,                0.00764,                0.00182,                      0,                 123.31,                      0,             4.7773e-05,             4.7773e-05,             4.7773e-05
